X;Y;ID;PRIORITY
-139.103835448;61.0119882609;0;A
-139.1022608569;61.0117522933;1;B
-139.1045169997;61.0154599752;2;C
-139.1045153598;61.0084452143;3;A
-139.0969009276;61.0053210232;4;B
-139.0942475473;61.0076324368;5;C
-139.0965726951;60.999197852;6;A
-139.084781795;61.0021134481;7;B
-139.0917709154;61.0018740784;8;C
-139.0891475541;60.996960058;9;A
-139.0783352564;60.9992001765;10;B
-139.0788728095;60.9972182757;11;C
-139.0664576266;60.9950482754;12;A
-139.0802673615;60.9926698708;13;B
-139.0797819768;60.9917686707;14;C
-139.0646418948;60.9911656529;15;A
-139.0562357161;60.9907177507;16;B
-139.0702089802;60.9874157497;17;C
-139.0577193907;60.9812946054;18;A
-139.0580157936;60.9820109977;19;B
-139.0646622445;60.9863380284;20;C
-139.1862203786;60.9301128102;21;A
-139.1903545548;60.930586623;22;B
-139.1874647384;60.9309306426;23;C
-139.1824534743;60.9261607481;24;A
-139.1821782158;60.9238244489;25;B
-139.1808061548;60.9251551368;26;C
-139.1744829492;60.9198819897;27;A
-139.1747729689;60.921224473;28;B
-139.1775522127;60.9187414331;29;C
-139.1706541548;60.9148414373;30;A
-139.1647770024;60.9148212425;31;B
-139.1742419856;60.9177541669;32;C
-139.1623409249;60.9096175256;33;A
-139.1639870235;60.9102940351;34;B
-139.1573986182;60.913287872;35;C
-139.1478201177;60.9138969424;36;A
-139.1453983128;60.910615064;37;B
-139.1455723456;60.9108269127;38;C
-139.1429657851;60.9102481808;39;A
-139.134039818;60.9097030562;40;B
-139.1406217738;60.9064716726;41;C
-139.2478329464;60.8019633252;42;A
-139.24543847;60.8009629445;43;B
-139.2496881461;60.7995002771;44;C
-139.2544699276;60.7966355014;45;A
-139.2543635261;60.7989175012;46;B
-139.2555010756;60.7986673862;47;C
-139.252513084;60.79065284;48;A
-139.2507378107;60.7943881432;49;B
-139.2447742077;60.7945007651;50;C
-139.2420876015;60.7909871157;51;A
-139.242140231;60.7873304412;52;B
-139.2463048622;60.7909629387;53;C
-139.2376484618;60.7874973079;54;A
-139.2414533771;60.7854211953;55;B
-139.2367240048;60.7890466822;56;C
-139.2298079832;60.7834359046;57;A
-139.2310306257;60.7817998645;58;B
-139.2297329474;60.7807880252;59;C
-139.2211703763;60.7833436293;60;A
-139.2192676904;60.7830044002;61;B
-139.2090028102;60.7817813656;62;C
